titulo,fecha_publicacion,url,autor,tema,pais,top5_palabras_articulo,longitud_palabras
"la minería de litio podría amenazar un recurso precioso, el agua: voces desde el territorio | opinión",Sin fecha,https://es.mongabay.com/2026/01/mineria-litio-amenaza-agua-argentina-opinion/,Latoya Abulu,Pueblos indígenas y territorio,Argentina,"comunidades, empresas, comunidad, territorio, nuestras",814
bolivia: un túnel en el parque aguaragüe enfrenta a paz con el pueblo guaraní por el acceso al agua,Sin fecha,https://es.mongabay.com/2026/01/bolivia-tunel-parque-aguarague-amenaza-pueblo-guarani-agua/,Emiliadelfino,Agua y contaminación,Argentina,"tunel, agua, aguarague, proyecto, construccion",1073
sin playas ni protección legal: la odisea de las tortugas marinas más grandes del mundo para anidar en ecuador,Sin fecha,https://es.mongabay.com/2026/01/sin-playas-proteccion-legal-odisea-tortuga-laud-anidar-ecuador/,Emiliadelfino,Agua y contaminación,Ecuador,"laud, huevos, tortugas, arena, especie",992
revivir al río colorado: utilizan abejas y agua para restaurar el delta que unía a estados unidos con méxico,Sin fecha,https://es.mongabay.com/2026/01/revivir-rio-colorado-abejas-agua-restaurar-delta-estados-unidos-mexico/,Emiliadelfino,Agua y contaminación,México,"rio, colorado, agua, abejas, chan",1423
crimen de berta cáceres: “los bancos han facilitado las condiciones estructurales de violencia sobre los territorios lencas” | entrevista,Sin fecha,https://es.mongabay.com/2026/01/berta-caceres-bancos-violencia-lencas-entrevista/,Emiliadelfino,Agua y contaminación,Honduras,"caceres, bancos, berta, caso, informacion",1264
"venezuela, trump y petróleo: los anuncios de ee.uu. profundizan la incertidumbre ambiental tras la captura de maduro",Sin fecha,https://es.mongabay.com/2026/01/venezuela-trump-petroleo-incertidumbre-ambiental-captura-maduro/,Antonio Paz Cardona,Agua y contaminación,Bolivia,"ambiental, petrolera, venezuela, pais, industria",1490
chile: demanda para vacunas hechas con el árbol de jabón dispara amenazas a esta especie | estudio,Sin fecha,https://es.mongabay.com/2026/01/chile-demanda-vacunas-arbol-jabon-dispara-amenazas/,Emiliadelfino,Deforestación y bosques,Chile,"quillay, arboles, saponinas, arbol, vacunas",839
finanzas ambientales: por cada dólar que el mundo invierte en proteger la naturaleza se gastan 30 dólares en destruirla,Sin fecha,https://es.mongabay.com/short-article/2026/01/finanzas-ambientales-proteger-naturaleza-destruccion/,Emiliadelfino,Agua y contaminación,México,"naturaleza, inversiones, informe, perjudican, ambiente",189
confinados y sin territorio: el estado boliviano empuja al pueblo indígena ese ejja de eyiyoquibo hacia la desaparición,Sin fecha,https://es.mongabay.com/2026/01/bolivia-pueblo-indigena-ese-ejja-eyiyoquibo-desaparicion/,Emiliadelfino,Agua y contaminación,Bolivia,"tierras, ejjas, eyiyoquibo, bolivia, inra",1821
"lo más leído | minería ilegal contamina ríos de colombia y venezuela, salida de ee. uu. de organismos internacionales y refugio clave para fauna en bolivia",Sin fecha,https://es.mongabay.com/2026/01/mineria-ilegal-contamina-rios-colombia-venezuela-salida-ee-uu-organismos-internacionales-refugio-fauna-bolivia/,Dalia,Agua y contaminación,Bolivia,"lee, andino, bolivia, investigacion, ambientales",493
